Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,complete_name,complete_model,Lddt_score,Lddt_rank,Groups_new
Bujnicki,4,5.843,6,7.615,8,0.767,29,0.929,19,1.0,1,0.678,50,2.78,17,30.459,54,0.349,9,0.0,1,5.55e-17,1,PZ11,PZ11_Bujnicki_4,PZ11_Bujnicki_4,0.5456223887933153,26,Others
Bujnicki,1,5.983,7,7.559,7,0.792,20,0.955,14,-1.0,16,0.732,28,0.55,6,22.643,17,0.451,1,0.0,1,5.55e-17,0,PZ11,PZ11_Bujnicki_1,PZ11_Bujnicki_1,0.5944398716187408,8,Others
Chen,1,6.026,8,7.34,6,0.821,7,0.929,19,-1.0,16,0.787,7,1.1,10,26.348,44,0.32,24,0.0,1,5.55e-17,0,PZ11,PZ11_Chen_1,PZ11_Chen_1,0.5451762281491307,27,Others
Ding,5,6.348,9,9.202,13,0.69,50,0.769,44,-1.0,16,0.672,52,12.62,47,27.271,47,0.339,14,0.0,1,3.33e-16,0,PZ11,PZ11_Ding_5,PZ11_Ding_5,0.5295090364299588,38,Others
Adamiak,5,6.381,10,7.818,9,0.816,9,0.977,9,-1.0,16,0.739,23,6.59,19,25.062,28,0.34,13,0.0,1,3.89e-16,1,PZ11,PZ11_Adamiak_5,PZ11_Adamiak_5,0.6040489063652003,4,Others
Ding,9,6.748,11,9.242,14,0.73,39,0.798,39,-1.0,16,0.719,34,9.87,31,26.103,40,0.367,5,0.0,1,2.05e-15,0,PZ11,PZ11_Ding_9,PZ11_Ding_9,0.5523206925955754,22,Others
Das,10,6.825,12,7.958,10,0.858,2,0.977,9,-1.0,16,0.804,3,10.42,36,22.896,19,0.297,40,0.0,1,2.89e-15,1,PZ11,PZ11_Das_10,PZ11_Das_10,0.6446931064143524,1,Others
Ding,10,6.878,13,9.382,17,0.733,38,0.739,48,-1.0,16,0.75,18,13.71,49,24.359,23,0.273,47,0.0,1,3.66e-15,0,PZ11,PZ11_Ding_10,PZ11_Ding_10,0.5214481974513241,43,Others
Ding,3,6.996,15,9.317,15,0.751,30,0.826,32,-1.0,16,0.731,29,13.17,48,25.749,37,0.318,28,0.0,1,6.11e-15,0,PZ11,PZ11_Ding_3,PZ11_Ding_3,0.5291996304893647,39,Others
Adamiak,1,6.992,14,9.343,16,0.748,31,0.763,45,-1.0,16,0.758,16,8.24,25,24.914,27,0.299,39,0.0,1,6e-15,0,PZ11,PZ11_Adamiak_1,PZ11_Adamiak_1,0.5263720450992467,41,Others
Bujnicki,5,7.574,24,10.47,27,0.723,40,0.773,42,-1.0,16,0.718,35,0.0,1,22.22,14,0.311,36,0.0,1,7.19e-14,0,PZ11,PZ11_Bujnicki_5,PZ11_Bujnicki_5,0.5300597493959922,37,Others
Bujnicki,10,7.546,23,11.399,35,0.662,53,0.636,53,-1.0,16,0.69,44,0.0,1,26.164,41,0.303,38,0.0,1,6.42e-14,0,PZ11,PZ11_Bujnicki_10,PZ11_Bujnicki_10,0.5057972902553414,50,Others
Adamiak,10,7.407,21,10.534,30,0.703,48,0.773,42,-1.0,16,0.682,47,9.34,29,28.03,48,0.313,34,0.0,1,3.56e-14,0,PZ11,PZ11_Adamiak_10,PZ11_Adamiak_10,0.5238035316689563,42,Others
Bujnicki,9,7.385,20,9.435,18,0.783,23,0.957,13,-1.0,16,0.711,37,1.1,10,23.871,20,0.323,23,0.0,1,3.25e-14,0,PZ11,PZ11_Bujnicki_9,PZ11_Bujnicki_9,0.5754121464778057,13,Others
Adamiak,3,7.409,22,10.517,28,0.705,47,0.744,47,0.0,4,0.709,38,6.59,19,25.442,35,0.439,2,0.0,1,3.6e-14,0,PZ11,PZ11_Adamiak_3,PZ11_Adamiak_3,0.5568196622293808,19,Others
Adamiak,6,7.333,19,9.882,21,0.742,35,0.906,23,0.0,4,0.694,41,10.98,41,25.771,38,0.336,17,0.0,1,2.6e-14,0,PZ11,PZ11_Adamiak_6,PZ11_Adamiak_6,0.5776238808091335,12,Others
Ding,8,7.21,18,9.141,12,0.789,22,0.798,39,-1.0,16,0.797,4,9.87,31,25.219,30,0.319,26,0.0,1,1.54e-14,1,PZ11,PZ11_Ding_8,PZ11_Ding_8,0.557921172278201,18,Others
Bujnicki,8,7.142,17,10.409,26,0.686,51,0.727,50,-1.0,16,0.683,45,0.0,1,22.149,13,0.399,3,0.0,1,1.15e-14,0,PZ11,PZ11_Bujnicki_8,PZ11_Bujnicki_8,0.5473805604244635,25,Others
Chen,3,7.05,16,8.623,11,0.818,8,0.905,24,-1.0,16,0.793,6,1.1,10,26.738,46,0.319,26,0.0,1,7.77e-15,0,PZ11,PZ11_Chen_3,PZ11_Chen_3,0.556533942867971,20,Others
Ding,4,7.838,25,10.177,23,0.77,27,0.826,32,-1.0,16,0.761,14,9.87,31,24.893,26,0.346,10,0.0,1,2.15e-13,0,PZ11,PZ11_Ding_4,PZ11_Ding_4,0.5493909588327254,23,Others
Lee,3,4.711,17,6.367,16,0.74,10,0.816,16,-1.0,15,0.776,6,0.0,1,15.584,22,0.273,11,0.0,1,2.454e-05,0,PZ16a,PZ16a_Lee_3,PZ16a_Lee_3,0.5762273610044714,17,Others
Lee,1,4.605,16,6.458,17,0.713,18,0.816,16,-1.0,15,0.734,17,0.0,1,17.391,40,0.26,15,0.0,1,1.9e-05,0,PZ16a,PZ16a_Lee_1,PZ16a_Lee_1,0.5896451530343405,14,Others
Lee,7,4.558,15,6.329,15,0.72,15,0.775,19,-1.0,15,0.76,11,0.0,1,17.231,37,0.262,13,0.0,1,1.698e-05,0,PZ16a,PZ16a_Lee_7,PZ16a_Lee_7,0.586811044367162,16,Others
Chen,7,16.867,28,42.87,26,0.393,26,0.0,24,-1.0,15,0.577,26,0.0,1,30.495,78,0.13,25,0.0,1,0.9965,0,PZ16a,PZ16a_Chen_7,PZ16a_Chen_7,0.2874456137181398,28,Others
Chen,6,15.926,27,33.732,25,0.472,25,0.0,24,-1.0,15,0.62,22,1.14,17,37.093,83,0.117,26,0.0,1,0.985,0,PZ16a,PZ16a_Chen_6,PZ16a_Chen_6,0.3114245065715189,25,Others
Chen,8,15.75,26,55.661,27,0.283,27,0.0,24,-1.0,15,0.404,27,0.0,1,33.384,81,0.117,26,0.0,1,0.9809,0,PZ16a,PZ16a_Chen_8,PZ16a_Chen_8,0.2970431928699396,27,Others
Chen,9,15.496,25,56.347,28,0.275,28,0.0,24,0.0,10,0.362,28,0.0,1,35.47,82,0.108,28,0.0,1,0.9733,0,PZ16a,PZ16a_Chen_9,PZ16a_Chen_9,0.3001896933291179,26,Others
Chen,10,15.237,24,32.056,24,0.475,24,0.0,24,-1.0,15,0.613,23,1.14,17,33.128,80,0.172,24,0.0,1,0.9631,0,PZ16a,PZ16a_Chen_10,PZ16a_Chen_10,0.3414103548469656,24,Others
Chen,3,7.344,22,11.419,21,0.643,22,0.913,2,-1.0,15,0.603,24,0.0,1,27.323,76,0.229,20,0.0,1,0.004694,0,PZ16a,PZ16a_Chen_3,PZ16a_Chen_3,0.4788213420050284,22,Others
Chen,4,7.254,21,11.933,23,0.608,23,0.913,2,0.0,10,0.582,25,0.0,1,25.784,72,0.201,23,0.0,1,0.004058,0,PZ16a,PZ16a_Chen_4,PZ16a_Chen_4,0.4705561326648901,23,Others
Lee,8,5.405,20,7.305,19,0.74,10,0.866,14,-1.0,15,0.754,13,0.0,1,17.307,38,0.257,16,0.0,1,0.0001191,0,PZ16a,PZ16a_Lee_8,PZ16a_Lee_8,0.5540588350420788,20,Others
Lee,10,5.383,19,8.305,20,0.648,21,0.816,16,0.0,10,0.66,20,0.0,1,18.43,50,0.222,21,0.0,1,0.0001136,0,PZ16a,PZ16a_Lee_10,PZ16a_Lee_10,0.5324435812896136,21,Others
Lee,5,5.288,18,7.268,18,0.728,13,0.775,19,-1.0,15,0.768,10,0.0,1,15.536,21,0.291,8,0.0,1,9.217e-05,0,PZ16a,PZ16a_Lee_5,PZ16a_Lee_5,0.6284419553467925,13,Others
Lee,9,8.41,23,11.583,22,0.726,14,0.866,14,0.0,10,0.754,13,0.0,1,18.351,49,0.212,22,0.0,1,0.02248,0,PZ16a,PZ16a_Lee_9,PZ16a_Lee_9,0.5737018803727625,18,Others
Lee,6,4.416,14,6.303,14,0.701,19,0.775,19,-1.0,15,0.734,17,0.0,1,17.338,39,0.253,17,0.0,1,1.199e-05,0,PZ16a,PZ16a_Lee_6,PZ16a_Lee_6,0.5685605889526218,19,Others
Szachniuk,1,2.258,6,2.862,5,0.789,5,0.913,2,0.667,2,0.776,6,10.29,23,15.711,24,0.261,14,0.0,1,2.931e-08,0,PZ16a,PZ16a_Szachniuk_1,PZ16a_Szachniuk_1,0.7469438296975445,11,Others
Szachniuk,4,2.36,7,2.992,7,0.789,5,0.913,2,0.0,10,0.826,5,11.43,24,16.177,27,0.269,12,0.0,1,4.022e-08,0,PZ16a,PZ16a_Szachniuk_4,PZ16a_Szachniuk_4,0.7558037125694413,9,Others
