Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,complete_name,complete_model,Lddt_score,Lddt_rank,Groups_new
Kollmann,7,29.0,72,54.869,75,0.529,77,0.295,78,-1.0,1,0.646,71,118.63,71,20.336,58,0.204,73,0.0,1,0.08822,0,PZ24,PZ24_Kollmann_7,PZ24_Kollmann_7,0.3987013914229957,78,Others
Kollmann,5,32.523,79,50.612,74,0.643,66,0.622,60,-1.0,1,0.658,69,119.92,73,21.568,72,0.165,78,0.0,1,0.7275,0,PZ24,PZ24_Kollmann_5,PZ24_Kollmann_5,0.4618786590299703,70,Others
Kollmann,10,29.586,74,60.229,78,0.491,79,0.239,79,-1.0,1,0.626,77,111.61,68,20.564,61,0.189,75,0.0,1,0.1525,0,PZ24,PZ24_Kollmann_10,PZ24_Kollmann_10,0.353604689904647,80,Others
Kollmann,1,30.154,75,46.229,72,0.652,63,0.541,72,-1.0,1,0.718,56,115.98,70,22.419,76,0.182,77,0.0,1,0.2388,0,PZ24,PZ24_Kollmann_1,PZ24_Kollmann_1,0.4650684605499056,66,Others
Kollmann,6,30.524,76,49.938,73,0.611,73,0.431,77,-1.0,1,0.708,60,92.97,66,18.847,37,0.155,80,0.0,1,0.3068,0,PZ24,PZ24_Kollmann_6,PZ24_Kollmann_6,0.4247965222357962,75,Others
Kollmann,4,32.088,77,54.91,76,0.584,76,0.469,74,-1.0,1,0.646,71,123.77,74,18.847,37,0.165,78,0.0,1,0.6421,0,PZ24,PZ24_Kollmann_4,PZ24_Kollmann_4,0.4146186675974551,77,Others
Kollmann,8,32.427,78,61.663,80,0.526,78,0.449,76,-1.0,1,0.573,80,115.13,69,16.641,17,0.188,76,0.0,1,0.7096,0,PZ24,PZ24_Kollmann_8,PZ24_Kollmann_8,0.4244300242745403,76,Others
Kollmann,3,32.864,80,55.467,77,0.592,75,0.462,75,-1.0,1,0.671,67,119.25,72,20.101,53,0.206,72,0.0,1,0.7868,0,PZ24,PZ24_Kollmann_3,PZ24_Kollmann_3,0.4346364371955766,74,Others
Ding,8,23.969,67,38.184,67,0.628,70,0.602,62,-1.0,1,0.642,74,9.52,54,19.994,49,0.273,60,0.0,1,1.688e-05,0,PZ24,PZ24_Ding_8,PZ24_Ding_8,0.4596963302606736,71,Others
Kollmann,9,29.579,73,61.015,79,0.485,80,0.199,80,-1.0,1,0.622,79,104.14,67,22.058,74,0.222,71,0.0,1,0.1516,0,PZ24,PZ24_Kollmann_9,PZ24_Kollmann_9,0.3572569769471195,79,Others
iFoldRNA,5,23.158,66,33.833,66,0.684,61,0.646,59,-1.0,1,0.718,56,0.56,9,21.019,65,0.285,58,0.0,1,2.14e-06,0,PZ24,PZ24_iFoldRNA_5,PZ24_iFoldRNA_5,0.5253740341747449,59,Others
Das,6,14.595,30,16.842,24,0.867,16,0.978,11,-1.0,1,0.82,22,1.68,27,17.04,23,0.383,21,0.0,1,0.0,0,PZ24,PZ24_Das_6,PZ24_Das_6,0.7124561709689191,6,Others
FARFAR2,4,13.552,20,16.33,22,0.83,35,0.889,50,-1.0,1,0.808,29,0.56,9,15.119,4,0.398,14,0.0,1,0.0,0,PZ24,PZ24_FARFAR2_4,PZ24_FARFAR2_4,0.6775785749416935,24,Others
Das,7,13.633,21,15.515,19,0.879,7,0.989,1,-1.0,1,0.832,15,1.4,19,16.213,15,0.345,38,0.0,1,0.0,0,PZ24,PZ24_Das_7,PZ24_Das_7,0.7050159450411715,9,Others
VfoldLA,5,13.651,22,18.677,35,0.731,58,0.897,46,-1.0,1,0.646,71,145.01,76,24.632,87,0.324,40,0.0,1,0.0,0,PZ24,PZ24_VfoldLA_5,PZ24_VfoldLA_5,0.5421726506846055,58,Others
Das,9,14.141,23,16.188,20,0.874,11,0.989,1,-1.0,1,0.824,20,1.4,19,16.434,16,0.384,20,0.0,1,0.0,0,PZ24,PZ24_Das_9,PZ24_Das_9,0.7004315473829507,12,Others
Vfold3D,4,14.196,24,17.81,30,0.797,51,0.921,24,-1.0,1,0.734,55,3.08,40,23.242,82,0.246,65,0.0,1,0.0,0,PZ24,PZ24_Vfold3D_4,PZ24_Vfold3D_4,0.5892827111329705,50,Others
VfoldLA,4,14.248,25,18.071,32,0.788,53,0.921,24,-1.0,1,0.717,58,153.76,78,24.589,86,0.288,57,0.0,1,0.0,0,PZ24,PZ24_VfoldLA_4,PZ24_VfoldLA_4,0.5581161052848689,56,Others
VfoldLA,3,14.323,26,19.395,42,0.738,56,0.847,55,-1.0,1,0.683,64,159.38,79,20.19,55,0.289,55,0.0,1,0.0,0,PZ24,PZ24_VfoldLA_3,PZ24_VfoldLA_3,0.5477613479509432,57,Others
Adamiak,3,14.372,27,17.595,28,0.817,43,0.922,23,-1.0,1,0.76,46,10.36,57,23.649,83,0.372,22,0.0,1,0.0,0,PZ24,PZ24_Adamiak_3,PZ24_Adamiak_3,0.6403520601627822,36,Others
Das,5,14.377,28,16.287,21,0.883,4,0.989,1,-1.0,1,0.838,11,1.4,19,16.208,14,0.41,11,0.0,1,0.0,0,PZ24,PZ24_Das_5,PZ24_Das_5,0.7165035142553428,3,Others
Bujnicki,5,14.583,29,17.706,29,0.824,39,0.899,44,-1.0,1,0.791,37,5.04,45,17.807,28,0.306,46,0.0,1,0.0,0,PZ24,PZ24_Bujnicki_5,PZ24_Bujnicki_5,0.6785344841263545,23,Others
Vfold3D,1,14.738,31,17.249,27,0.854,21,0.967,13,-1.0,1,0.798,33,2.8,39,24.327,85,0.235,70,0.0,1,0.0,0,PZ24,PZ24_Vfold3D_1,PZ24_Vfold3D_1,0.6198123086198417,40,Others
Das,8,14.931,32,17.013,26,0.878,9,0.989,1,-1.0,1,0.83,17,1.4,19,17.003,21,0.31,44,0.0,1,0.0,0,PZ24,PZ24_Das_8,PZ24_Das_8,0.7025742118707262,11,Others
VfoldLA,1,14.997,33,19.672,45,0.762,55,0.872,53,-1.0,1,0.706,61,146.04,77,17.654,27,0.302,49,0.0,1,0.0,0,PZ24,PZ24_VfoldLA_1,PZ24_VfoldLA_1,0.5647384537276492,53,Others
Das,4,15.015,34,16.953,25,0.886,1,0.989,1,-1.0,1,0.842,8,1.68,27,15.945,8,0.31,44,0.0,1,0.0,0,PZ24,PZ24_Das_4,PZ24_Das_4,0.7060392835044186,8,Others
Bujnicki,1,15.072,35,18.534,34,0.813,46,0.86,54,-1.0,1,0.799,32,0.56,9,20.197,56,0.355,29,0.0,1,0.0,0,PZ24,PZ24_Bujnicki_1,PZ24_Bujnicki_1,0.6805192847736756,22,Others
Adamiak,4,15.075,36,18.302,33,0.824,39,0.934,17,-1.0,1,0.765,43,12.03,62,22.516,79,0.371,23,0.0,1,0.0,0,PZ24,PZ24_Adamiak_4,PZ24_Adamiak_4,0.6481754430500246,34,Others
VfoldLA,2,15.353,37,19.297,41,0.796,52,0.897,46,-1.0,1,0.741,52,171.32,80,21.285,68,0.289,55,0.0,1,0.0,0,PZ24,PZ24_VfoldLA_2,PZ24_VfoldLA_2,0.5582335115581716,55,Others
DasTFN,2,13.302,19,16.449,23,0.809,48,0.901,41,-1.0,1,0.765,43,5.04,45,20.414,60,0.403,13,0.0,1,0.0,0,PZ24,PZ24_DasTFN_2,PZ24_DasTFN_2,0.6396230306684225,38,Others
3dRNA,1,15.445,38,19.008,38,0.813,46,0.834,57,-1.0,1,0.807,30,0.28,4,20.028,50,0.388,18,0.0,1,0.0,0,PZ24,PZ24_3dRNA_1,PZ24_3dRNA_1,0.6178441669707595,42,Others
FARFAR2,8,12.922,18,14.824,17,0.872,13,0.934,17,-1.0,1,0.844,7,0.84,14,13.882,1,0.349,35,0.0,1,0.0,0,PZ24,PZ24_FARFAR2_8,PZ24_FARFAR2_8,0.7049151977661077,10,Others
Bujnicki,2,9.752,6,11.074,6,0.881,6,0.913,27,-1.0,1,0.865,2,0.28,4,17.855,29,0.348,36,0.0,1,0.0,0,PZ24,PZ24_Bujnicki_2,PZ24_Bujnicki_2,0.6853638801186756,19,Others
Adamiak,5,9.85,7,11.846,7,0.831,34,0.911,30,-1.0,1,0.789,39,11.47,60,20.133,54,0.413,10,0.0,1,0.0,0,PZ24,PZ24_Adamiak_5,PZ24_Adamiak_5,0.6683320376334703,28,Others
FARFAR2,10,10.134,8,11.911,8,0.851,23,0.923,21,-1.0,1,0.826,18,3.08,40,18.408,34,0.427,6,0.0,1,0.0,0,PZ24,PZ24_FARFAR2_10,PZ24_FARFAR2_10,0.7130812800456933,4,Others
Adamiak,1,10.272,9,12.796,11,0.803,50,0.886,52,-1.0,1,0.76,46,10.92,58,22.651,80,0.363,25,0.0,1,0.0,0,PZ24,PZ24_Adamiak_1,PZ24_Adamiak_1,0.6051920544511257,49,Others
iFoldRNA,2,10.301,10,12.127,9,0.849,25,0.933,20,-1.0,1,0.809,27,1.68,27,20.356,59,0.322,42,0.0,1,0.0,0,PZ24,PZ24_iFoldRNA_2,PZ24_iFoldRNA_2,0.6057433879642704,48,Others
DasTFN,8,10.62,11,12.167,10,0.873,12,0.903,40,-1.0,1,0.863,3,5.6,49,17.065,24,0.407,12,0.0,1,0.0,0,PZ24,PZ24_DasTFN_8,PZ24_DasTFN_8,0.6884077170826127,18,Others
Bujnicki,3,10.777,12,13.141,13,0.82,42,0.889,50,-1.0,1,0.792,36,0.28,4,20.241,57,0.323,41,0.0,1,0.0,0,PZ24,PZ24_Bujnicki_3,PZ24_Bujnicki_3,0.6767162734614225,25,Others
DasTFN,1,10.901,13,12.813,12,0.851,23,0.934,17,-1.0,1,0.818,24,3.36,42,18.947,42,0.422,8,0.0,1,0.0,0,PZ24,PZ24_DasTFN_1,PZ24_DasTFN_1,0.6938322042234527,17,Others
Adamiak,2,10.936,14,13.972,15,0.783,54,0.91,38,-1.0,1,0.713,59,14.55,65,26.34,90,0.33,39,0.0,1,0.0,0,PZ24,PZ24_Adamiak_2,PZ24_Adamiak_2,0.6172769677450063,43,Others
Vfold3D,5,11.033,15,13.159,14,0.838,29,0.967,13,-1.0,1,0.774,42,5.04,45,23.007,81,0.358,26,0.0,1,0.0,0,PZ24,PZ24_Vfold3D_5,PZ24_Vfold3D_5,0.6094075742911993,46,Others
FARFAR2,7,12.198,16,13.993,16,0.872,13,0.901,41,-1.0,1,0.859,4,1.68,27,15.994,9,0.368,24,0.0,1,0.0,0,PZ24,PZ24_FARFAR2_7,PZ24_FARFAR2_7,0.6962374462548986,16,Others
DasTFN,4,21.887,65,26.548,57,0.824,39,0.899,44,-1.0,1,0.79,38,1.96,33,19.791,48,0.259,64,0.0,1,5.685e-08,0,PZ24,PZ24_DasTFN_4,PZ24_DasTFN_4,0.6069071379841026,47,Others
Vfold3D,3,15.497,39,18.788,36,0.825,38,0.978,11,-1.0,1,0.741,52,1.96,33,25.604,88,0.295,53,0.0,1,0.0,0,PZ24,PZ24_Vfold3D_3,PZ24_Vfold3D_3,0.5889344587412143,51,Others
Vfold3D,2,12.787,17,15.488,18,0.826,37,0.989,1,-1.0,1,0.739,54,5.04,45,24.02,84,0.264,62,0.0,1,0.0,0,PZ24,PZ24_Vfold3D_2,PZ24_Vfold3D_2,0.588269685382919,52,Others
Das,1,15.942,41,18.0,31,0.886,1,0.989,1,-1.0,1,0.842,8,1.4,19,15.761,6,0.392,15,0.0,1,0.0,0,PZ24,PZ24_Das_1,PZ24_Das_1,0.711051262117438,7,Others
FARFAR2,5,18.405,51,21.77,51,0.845,27,0.911,30,-1.0,1,0.816,25,0.84,14,14.992,3,0.347,37,0.0,1,2.28e-13,0,PZ24,PZ24_FARFAR2_5,PZ24_FARFAR2_5,0.6540632089990321,30,Others
FARFAR2,3,19.079,53,21.887,52,0.872,13,0.911,30,-1.0,1,0.855,5,0.56,9,14.532,2,0.387,19,0.0,1,3.37e-12,0,PZ24,PZ24_FARFAR2_3,PZ24_FARFAR2_3,0.6821986704532834,21,Others
Ding,6,19.105,54,29.472,59,0.648,64,0.59,65,-1.0,1,0.676,65,11.47,60,18.871,40,0.238,67,0.0,1,3.718e-12,0,PZ24,PZ24_Ding_6,PZ24_Ding_6,0.464264862206286,68,Others
Ding,5,19.178,55,30.08,60,0.638,67,0.584,67,-1.0,1,0.673,66,9.24,53,18.225,32,0.236,69,0.0,1,4.932e-12,0,PZ24,PZ24_Ding_5,PZ24_Ding_5,0.472781576734519,65,Others
iFoldRNA,1,19.395,56,23.284,55,0.833,31,0.944,15,-1.0,1,0.778,41,0.84,14,20.037,51,0.303,48,0.0,1,1.135e-11,0,PZ24,PZ24_iFoldRNA_1,PZ24_iFoldRNA_1,0.6103547573339256,45,Others
DasTFN,5,19.588,57,23.135,54,0.847,26,0.911,30,-1.0,1,0.822,21,4.2,43,16.183,12,0.355,29,0.0,1,2.341e-11,0,PZ24,PZ24_DasTFN_5,PZ24_DasTFN_5,0.6516428945406083,31,Others
Bujnicki,4,18.301,50,21.438,49,0.854,21,0.935,16,-1.0,1,0.82,22,0.28,4,18.855,39,0.262,63,0.0,1,1.488e-13,0,PZ24,PZ24_Bujnicki_4,PZ24_Bujnicki_4,0.6698115153342112,27,Others
Ding,10,19.616,58,30.471,61,0.644,65,0.602,62,-1.0,1,0.665,68,8.12,52,19.489,46,0.277,59,0.0,1,2.6e-11,0,PZ24,PZ24_Ding_10,PZ24_Ding_10,0.4758357264116518,64,Others
Ding,1,19.91,60,32.223,63,0.618,71,0.584,67,-1.0,1,0.636,76,7.56,51,18.93,41,0.244,66,0.0,1,7.698e-11,0,PZ24,PZ24_Ding_1,PZ24_Ding_1,0.4620619080105983,69,Others
iFoldRNA,3,20.375,61,27.689,58,0.736,57,0.708,58,-1.0,1,0.749,49,2.24,36,20.905,64,0.3,51,0.0,1,4.044e-10,0,PZ24,PZ24_iFoldRNA_3,PZ24_iFoldRNA_3,0.5604491583239462,54,Others
Ding,3,20.59,62,32.633,64,0.631,68,0.584,67,-1.0,1,0.654,70,13.15,64,18.102,30,0.271,61,0.0,1,8.52e-10,0,PZ24,PZ24_Ding_3,PZ24_Ding_3,0.4923923908042329,61,Others
Ding,2,20.821,63,33.057,65,0.63,69,0.615,61,-1.0,1,0.638,75,9.8,55,18.711,36,0.299,52,0.0,1,1.866e-09,0,PZ24,PZ24_Ding_2,PZ24_Ding_2,0.457080074251535,72,Others
Ding,9,21.018,64,31.917,62,0.659,62,0.602,62,-1.0,1,0.685,63,10.08,56,19.487,45,0.302,49,0.0,1,3.598e-09,0,PZ24,PZ24_Ding_9,PZ24_Ding_9,0.4647305208713449,67,Others
3dRNA,4,15.572,40,19.114,40,0.815,45,0.921,24,-1.0,1,0.764,45,0.0,1,22.382,75,0.357,27,0.0,1,0.0,0,PZ24,PZ24_3dRNA_4,PZ24_3dRNA_4,0.6147606657253011,44,Others
3dRNA,2,19.877,59,24.361,56,0.816,44,0.847,55,-1.0,1,0.805,31,0.0,1,21.224,67,0.389,17,0.0,1,6.817e-11,0,PZ24,PZ24_3dRNA_2,PZ24_3dRNA_2,0.6399522442050485,37,Others
3dRNA,3,18.225,49,21.627,50,0.843,28,0.909,39,-1.0,1,0.813,26,0.0,1,21.328,69,0.423,7,0.0,1,1.085e-13,0,PZ24,PZ24_3dRNA_3,PZ24_3dRNA_3,0.6394358152596424,39,Others
3dRNA,5,18.421,52,22.018,53,0.837,30,0.897,46,-1.0,1,0.809,27,1.12,17,18.189,31,0.355,29,0.0,1,2.434e-13,0,PZ24,PZ24_3dRNA_5,PZ24_3dRNA_5,0.6181027780862778,41,Others
DasTFN,7,16.785,46,19.555,44,0.858,20,0.901,41,-1.0,1,0.838,11,5.88,50,16.848,20,0.352,34,0.0,1,2.22e-16,0,PZ24,PZ24_DasTFN_7,PZ24_DasTFN_7,0.6839296196988688,20,Others
FARFAR2,2,16.866,47,20.354,48,0.829,36,0.923,21,-1.0,1,0.783,40,0.28,4,15.648,5,0.416,9,0.0,1,2.776e-16,0,PZ24,PZ24_FARFAR2_2,PZ24_FARFAR2_2,0.6622848212727475,29,Others
Das,2,17.264,48,19.493,43,0.886,1,0.989,1,-1.0,1,0.842,8,1.4,19,15.819,7,0.356,28,0.0,1,1.776e-15,0,PZ24,PZ24_Das_2,PZ24_Das_2,0.7183534563454917,1,Others
Das,3,16.765,43,19.079,39,0.879,7,0.989,1,-1.0,1,0.832,15,1.4,19,16.02,10,0.319,43,0.0,1,1.665e-16,0,PZ24,PZ24_Das_3,PZ24_Das_3,0.7165534912500595,2,Others
DasTFN,3,16.774,44,20.14,46,0.833,31,0.911,30,-1.0,1,0.796,34,1.68,27,17.613,25,0.353,32,0.0,1,1.665e-16,0,PZ24,PZ24_DasTFN_3,PZ24_DasTFN_3,0.6513200272890257,32,Others
Das,10,16.477,42,18.838,37,0.875,10,0.989,1,-1.0,1,0.826,18,1.4,19,16.055,11,0.392,15,0.0,1,5.551e-17,0,PZ24,PZ24_Das_10,PZ24_Das_10,0.7125846832410477,5,Others
FARFAR2,1,16.774,44,20.14,46,0.833,31,0.911,30,-1.0,1,0.796,34,1.68,27,17.613,25,0.353,32,0.0,1,1.665e-16,0,PZ24,PZ24_FARFAR2_1,PZ24_FARFAR2_1,0.6513200272890257,32,Others
Ding,2,7.474,20,9.683,20,0.772,30,0.957,3,-1.0,14,0.672,40,10.72,50,18.306,47,0.278,47,0.0,1,1.71e-14,0,PZ31,PZ31_Ding_2,PZ31_Ding_2,0.5925570951311682,33,Others
Szachniuk,2,7.465,19,8.968,19,0.832,12,0.957,3,-1.0,14,0.778,14,1.63,30,17.913,44,0.306,34,0.0,1,1.638e-14,0,PZ31,PZ31_Szachniuk_2,PZ31_Szachniuk_2,0.6477490552604195,25,Others
Ding,4,9.095,22,11.93,22,0.762,32,0.93,20,-1.0,14,0.677,39,5.36,35,19.009,53,0.263,53,0.0,1,1.187e-11,0,PZ31,PZ31_Ding_4,PZ31_Ding_4,0.5580860808368476,38,Others
Chen,8,7.215,18,8.885,17,0.812,19,0.93,20,-1.0,14,0.764,20,0.0,1,14.964,14,0.395,2,0.0,1,5.607e-15,0,PZ31,PZ31_Chen_8,PZ31_Chen_8,0.6398471301823758,26,Others
Ding,3,6.751,17,8.909,18,0.758,33,0.934,15,-1.0,14,0.666,43,7.5,41,18.654,49,0.305,36,0.0,1,7.216e-16,0,PZ31,PZ31_Ding_3,PZ31_Ding_3,0.5714271044416452,36,Others
Chen,9,6.646,16,8.147,16,0.816,18,0.955,9,-1.0,14,0.753,26,0.0,1,16.181,26,0.38,3,0.0,1,4.441e-16,0,PZ31,PZ31_Chen_9,PZ31_Chen_9,0.6169816939591435,30,Others
Bujnicki,5,6.414,15,7.476,14,0.858,6,0.938,14,-1.0,14,0.827,5,8.04,44,14.536,11,0.33,19,0.0,1,1.665e-16,0,PZ31,PZ31_Bujnicki_5,PZ31_Bujnicki_5,0.7389951530751958,2,Others
Szachniuk,1,9.145,23,10.827,21,0.845,8,0.93,20,-1.0,14,0.81,8,0.0,1,16.595,31,0.299,38,0.0,1,1.436e-11,0,PZ31,PZ31_Szachniuk_1,PZ31_Szachniuk_1,0.6308994879237636,27,Others
Ding,6,9.198,24,13.051,28,0.705,45,0.858,33,-1.0,14,0.63,52,11.25,51,19.676,59,0.287,41,0.0,1,1.751e-11,0,PZ31,PZ31_Ding_6,PZ31_Ding_6,0.5458113122295855,41,Others
Ding,5,9.635,25,12.997,27,0.741,38,0.858,33,0.0,1,0.7,36,15.01,52,21.1,63,0.233,58,0.0,1,8.781e-11,0,PZ31,PZ31_Ding_5,PZ31_Ding_5,0.5379658661482009,43,Others
Perez,1,9.001,21,12.861,25,0.7,48,0.854,38,-1.0,14,0.636,50,0.0,1,17.779,43,0.344,13,0.0,1,8.285e-12,0,PZ31,PZ31_Perez_1,PZ31_Perez_1,0.5869348677364588,34,Others
Chen,6,5.584,8,6.7,7,0.833,10,0.934,15,-1.0,14,0.791,11,0.0,1,15.572,20,0.317,27,0.0,1,0.0,0,PZ31,PZ31_Chen_6,PZ31_Chen_6,0.6594795717180568,24,Others
Dfold,1,25.574,62,57.54,60,0.444,54,0.0,55,-1.0,14,0.66,45,87.4,54,13.466,3,0.329,21,0.0,1,0.9933,0,PZ31,PZ31_Dfold_1,PZ31_Dfold_1,0.3521157374445479,56,Others
Chen,1,5.645,9,6.506,6,0.868,3,0.978,1,-1.0,14,0.822,7,0.0,1,13.795,4,0.374,5,0.0,1,0.0,0,PZ31,PZ31_Chen_1,PZ31_Chen_1,0.709893066432992,7,Others
Chen,2,5.688,10,7.055,11,0.806,21,0.934,15,-1.0,14,0.754,25,0.0,1,14.439,9,0.301,37,0.0,1,0.0,0,PZ31,PZ31_Chen_2,PZ31_Chen_2,0.68373131058656,16,Others
Szachniuk,5,5.737,11,7.224,12,0.794,25,0.889,30,-1.0,14,0.756,24,0.0,1,15.804,22,0.356,9,0.0,1,0.0,0,PZ31,PZ31_Szachniuk_5,PZ31_Szachniuk_5,0.6738423517169615,18,Others
Szachniuk,3,5.781,12,7.449,13,0.776,28,0.953,13,-1.0,14,0.704,35,0.0,1,14.571,12,0.371,7,0.0,1,0.0,0,PZ31,PZ31_Szachniuk_3,PZ31_Szachniuk_3,0.6673455556164083,21,Others
Ding,1,5.861,13,7.569,15,0.774,29,0.909,24,-1.0,14,0.709,33,9.65,47,15.909,23,0.311,31,0.0,1,0.0,0,PZ31,PZ31_Ding_1,PZ31_Ding_1,0.6172555315187032,29,Others
Chen,3,5.513,6,6.716,8,0.821,16,0.955,9,-1.0,14,0.764,20,0.0,1,14.036,5,0.328,23,0.0,1,0.0,0,PZ31,PZ31_Chen_3,PZ31_Chen_3,0.6656665890793582,22,Others
Chen,10,6.01,14,6.786,9,0.886,1,0.955,9,-1.0,14,0.861,1,0.0,1,14.535,10,0.373,6,0.0,1,0.0,0,PZ31,PZ31_Chen_10,PZ31_Chen_10,0.6641895777424831,23,Others
Dfold,8,24.803,61,62.377,62,0.398,58,0.057,54,0.0,1,0.552,59,163.63,62,16.212,27,0.219,59,0.0,1,0.9796,0,PZ31,PZ31_Dfold_8,PZ31_Dfold_8,0.325257407305986,58,Others
Bujnicki,4,5.513,6,6.277,4,0.878,2,0.978,1,-1.0,14,0.84,3,7.5,41,15.419,16,0.35,11,0.0,1,0.0,0,PZ31,PZ31_Bujnicki_4,PZ31_Bujnicki_4,0.7179575825620242,4,Others
Nithin,2,10.253,26,12.766,23,0.803,22,0.909,24,-1.0,14,0.762,22,0.54,19,17.513,39,0.328,23,0.0,1,7.806e-10,0,PZ31,PZ31_Nithin_2,PZ31_Nithin_2,0.6993366285119667,12,Others
Szachniuk,4,12.738,36,15.283,33,0.833,10,0.957,3,-1.0,14,0.777,15,10.18,49,13.46,2,0.345,12,0.0,1,1.601e-06,0,PZ31,PZ31_Szachniuk_4,PZ31_Szachniuk_4,0.7102165370502218,6,Others
Perez,4,16.409,46,21.322,46,0.77,31,0.831,40,-1.0,14,0.75,27,0.55,23,17.385,38,0.306,34,0.0,1,0.004427,0,PZ31,PZ31_Perez_4,PZ31_Perez_4,0.5735921326469139,35,Others
Perez,8,17.158,47,26.038,52,0.659,50,0.746,50,-1.0,14,0.628,53,0.54,19,19.552,57,0.281,45,0.0,1,0.01384,0,PZ31,PZ31_Perez_8,PZ31_Perez_8,0.4971931650145134,51,Others
Perez,3,17.708,48,23.371,48,0.758,33,0.88,31,0.0,1,0.719,32,0.55,23,19.421,55,0.329,21,0.0,1,0.02896,0,PZ31,PZ31_Perez_3,PZ31_Perez_3,0.6064817350347774,31,Others
Xiao,3,17.749,49,25.007,51,0.71,44,0.783,47,-1.0,14,0.683,38,5.36,35,23.166,66,0.285,43,0.0,1,0.0305,0,PZ31,PZ31_Xiao_3,PZ31_Xiao_3,0.5367729612793691,44,Others
Perez,7,18.153,50,27.737,53,0.654,51,0.746,50,-1.0,14,0.62,54,1.63,30,24.22,69,0.244,55,0.0,1,0.0496,0,PZ31,PZ31_Perez_7,PZ31_Perez_7,0.5004792157292294,49,Others
Xiao,2,18.376,51,24.365,49,0.754,36,0.837,39,-1.0,14,0.721,31,1.61,29,23.7,68,0.256,54,0.0,1,0.06365,0,PZ31,PZ31_Xiao_2,PZ31_Xiao_2,0.5343460759077715,45,Others
Perez,5,16.075,45,20.159,44,0.797,23,0.88,31,0.0,1,0.789,12,0.55,23,15.545,19,0.309,32,0.0,1,0.00253,0,PZ31,PZ31_Perez_5,PZ31_Perez_5,0.6048797853113533,32,Others
Perez,9,18.727,52,24.737,50,0.757,35,0.81,44,-1.0,14,0.739,29,3.29,34,20.09,60,0.284,44,0.0,1,0.09177,0,PZ31,PZ31_Perez_9,PZ31_Perez_9,0.5493643545648721,40,Others
Dfold,10,20.565,54,39.839,55,0.516,52,0.373,52,0.0,1,0.598,56,104.33,55,15.935,24,0.293,39,0.0,1,0.3787,0,PZ31,PZ31_Dfold_10,PZ31_Dfold_10,0.4232450435401719,54,Others
Dfold,6,21.345,55,49.681,57,0.43,55,0.0,55,0.0,1,0.601,55,113.86,56,14.132,6,0.292,40,0.0,1,0.5496,0,PZ31,PZ31_Dfold_6,PZ31_Dfold_6,0.3359661673695164,57,Others
Dfold,9,21.547,56,21.547,47,-1.0,60,-1.0,60,-1.0,14,-1.0,60,143.09,58,20.473,61,0.277,48,0.0,1,0.5935,0,PZ31,PZ31_Dfold_9,PZ31_Dfold_9,0.3006137384303631,60,Others
Dfold,5,22.043,57,52.393,58,0.421,56,0.0,55,0.0,1,0.636,50,157.36,59,18.706,50,0.202,61,0.0,1,0.6958,0,PZ31,PZ31_Dfold_5,PZ31_Dfold_5,0.2824326359603483,62,Others
Dfold,4,22.592,58,53.93,59,0.419,57,0.0,55,0.0,1,0.588,57,160.13,61,17.946,46,0.244,55,0.0,1,0.7932,0,PZ31,PZ31_Dfold_4,PZ31_Dfold_4,0.3047367051864834,59,Others
Dfold,3,22.795,59,45.584,56,0.5,53,0.233,53,0.0,1,0.638,48,128.84,57,19.551,56,0.202,61,0.0,1,0.8238,0,PZ31,PZ31_Dfold_3,PZ31_Dfold_3,0.4064622241086587,55,Others
Perez,2,19.562,53,27.953,54,0.7,48,0.831,40,-1.0,14,0.644,47,1.63,30,20.857,62,0.316,29,0.0,1,0.1932,0,PZ31,PZ31_Perez_2,PZ31_Perez_2,0.5260231255819048,46,Others
Xiao,4,14.465,44,20.191,45,0.716,43,0.783,47,-1.0,14,0.696,37,1.07,26,25.896,70,0.243,57,0.0,1,0.0001089,0,PZ31,PZ31_Xiao_4,PZ31_Xiao_4,0.5439286790076127,42,Others
Perez,6,14.372,43,14.372,30,-1.0,60,-1.0,60,-1.0,14,-1.0,60,0.54,19,23.573,67,0.27,50,0.0,1,8.857e-05,0,PZ31,PZ31_Perez_6,PZ31_Perez_6,0.4261323183087792,53,Others
Ding,7,14.082,42,19.507,43,0.722,41,0.858,33,-1.0,14,0.66,45,5.89,40,18.351,48,0.266,52,0.0,1,4.603e-05,0,PZ31,PZ31_Ding_7,PZ31_Ding_7,0.5059816391916315,48,Others
Xiao,5,11.267,28,16.006,37,0.704,46,0.804,46,-1.0,14,0.667,42,5.36,35,26.451,71,0.27,50,0.0,1,2.193e-08,0,PZ31,PZ31_Xiao_5,PZ31_Xiao_5,0.5598694479434799,37,Others
Nithin,5,11.372,29,14.004,29,0.812,19,0.909,24,-1.0,14,0.773,18,0.0,1,16.765,33,0.309,32,0.0,1,3.047e-08,0,PZ31,PZ31_Nithin_5,PZ31_Nithin_5,0.692925406648776,13,Others
