Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,length,Groups_new,length_shift
Szachniuk,4,12.738,36,15.283,33,0.833,10,0.957,3,-1.0,14,0.777,15,10.18,49,13.46,2,0.345,12,0.0,1,1.601e-06,0,PZ31,63,Szachniuk,63.47728995323426
Perez,4,16.409,46,21.322,46,0.77,31,0.831,40,-1.0,14,0.75,27,0.55,23,17.385,38,0.306,34,0.0,1,0.004427,0,PZ31,63,Perez,61.995823204205124
Perez,8,17.158,47,26.038,52,0.659,50,0.746,50,-1.0,14,0.628,53,0.54,19,19.552,57,0.281,45,0.0,1,0.01384,0,PZ31,63,Perez,61.97180431426813
Perez,3,17.708,48,23.371,48,0.758,33,0.88,31,0.0,1,0.719,32,0.55,23,19.421,55,0.329,21,0.0,1,0.02896,0,PZ31,63,Perez,63.52344885575731
Xiao,3,17.749,49,25.007,51,0.71,44,0.783,47,-1.0,14,0.683,38,5.36,35,23.166,66,0.285,43,0.0,1,0.0305,0,PZ31,63,Xiao,61.90863660100367
Perez,7,18.153,50,27.737,53,0.654,51,0.746,50,-1.0,14,0.62,54,1.63,30,24.22,69,0.244,55,0.0,1,0.0496,0,PZ31,63,Perez,62.938253497896476
Xiao,2,18.376,51,24.365,49,0.754,36,0.837,39,-1.0,14,0.721,31,1.61,29,23.7,68,0.256,54,0.0,1,0.06365,0,PZ31,63,Xiao,61.96557611227483
Perez,5,16.075,45,20.159,44,0.797,23,0.88,31,0.0,1,0.789,12,0.55,23,15.545,19,0.309,32,0.0,1,0.00253,0,PZ31,63,Perez,63.88792055404497
Perez,9,18.727,52,24.737,50,0.757,35,0.81,44,-1.0,14,0.739,29,3.29,34,20.09,60,0.284,44,0.0,1,0.09177,0,PZ31,63,Perez,63.74675172628472
Dfold,10,20.565,54,39.839,55,0.516,52,0.373,52,0.0,1,0.598,56,104.33,55,15.935,24,0.293,39,0.0,1,0.3787,0,PZ31,63,Kollmann,63.71981830458482
Dfold,6,21.345,55,49.681,57,0.43,55,0.0,55,0.0,1,0.601,55,113.86,56,14.132,6,0.292,40,0.0,1,0.5496,0,PZ31,63,Kollmann,63.64109346996354
Dfold,9,21.547,56,21.547,47,-1.0,60,-1.0,60,-1.0,14,-1.0,60,143.09,58,20.473,61,0.277,48,0.0,1,0.5935,0,PZ31,63,Kollmann,62.63842117252812
Dfold,5,22.043,57,52.393,58,0.421,56,0.0,55,0.0,1,0.636,50,157.36,59,18.706,50,0.202,61,0.0,1,0.6958,0,PZ31,63,Kollmann,64.27950129073241
Dfold,4,22.592,58,53.93,59,0.419,57,0.0,55,0.0,1,0.588,57,160.13,61,17.946,46,0.244,55,0.0,1,0.7932,0,PZ31,63,Kollmann,64.15830012526617
Dfold,3,22.795,59,45.584,56,0.5,53,0.233,53,0.0,1,0.638,48,128.84,57,19.551,56,0.202,61,0.0,1,0.8238,0,PZ31,63,Kollmann,63.58722675096058
Perez,2,19.562,53,27.953,54,0.7,48,0.831,40,-1.0,14,0.644,47,1.63,30,20.857,62,0.316,29,0.0,1,0.1932,0,PZ31,63,Perez,63.36123368431831
Xiao,4,14.465,44,20.191,45,0.716,43,0.783,47,-1.0,14,0.696,37,1.07,26,25.896,70,0.243,57,0.0,1,0.0001089,0,PZ31,63,Xiao,61.99699998021487
Perez,6,14.372,43,14.372,30,-1.0,60,-1.0,60,-1.0,14,-1.0,60,0.54,19,23.573,67,0.27,50,0.0,1,8.857e-05,0,PZ31,63,Perez,64.29615236793268
Ding,7,14.082,42,19.507,43,0.722,41,0.858,33,-1.0,14,0.66,45,5.89,40,18.351,48,0.266,52,0.0,1,4.603e-05,0,PZ31,63,Ding,64.17506651136858
Xiao,5,11.267,28,16.006,37,0.704,46,0.804,46,-1.0,14,0.667,42,5.36,35,26.451,71,0.27,50,0.0,1,2.193e-08,0,PZ31,63,Xiao,64.43340086735904
Nithin,5,11.372,29,14.004,29,0.812,19,0.909,24,-1.0,14,0.773,18,0.0,1,16.765,33,0.309,32,0.0,1,3.047e-08,0,PZ31,63,LCBio,62.3353053121817
Ding,9,11.661,30,16.599,39,0.703,47,0.831,40,-1.0,14,0.638,48,9.11,46,17.63,41,0.287,41,0.0,1,7.379e-08,0,PZ31,63,Ding,63.04819971653525
Perez,10,11.667,31,14.796,31,0.789,26,0.858,33,-1.0,14,0.768,19,1.1,28,16.742,32,0.317,27,0.0,1,7.507e-08,0,PZ31,63,Perez,62.55470799879041
Ding,8,12.034,32,16.417,38,0.733,39,0.858,33,-1.0,14,0.672,40,9.65,47,17.297,37,0.272,49,0.0,1,2.23e-07,0,PZ31,63,Ding,62.31242300541802
Ding,10,12.317,33,17.142,40,0.719,42,0.831,40,-1.0,14,0.666,43,8.04,44,22.493,64,0.312,30,0.0,1,5.013e-07,0,PZ31,63,Ding,62.97622034746303
Nithin,4,12.591,34,15.287,34,0.824,15,0.909,24,-1.0,14,0.792,10,0.0,1,16.165,25,0.336,18,0.0,1,1.074e-06,0,PZ31,63,LCBio,61.51912341570927
Xiao,1,12.598,35,17.187,41,0.733,39,0.81,44,-1.0,14,0.705,34,0.54,19,26.867,72,0.279,46,0.0,1,1.096e-06,0,PZ31,63,Xiao,62.89152168528829
Bujnicki,1,12.774,37,15.193,32,0.841,9,0.957,3,-1.0,14,0.794,9,7.5,41,15.164,15,0.344,13,0.0,1,1.768e-06,0,PZ31,63,Bujnicki,64.26426284191238
Nithin,3,12.775,38,15.567,35,0.821,16,0.909,24,-1.0,14,0.789,12,0.0,1,15.625,21,0.33,19,0.0,1,1.772e-06,0,PZ31,63,LCBio,62.278207359469924
Nithin,1,12.947,39,12.947,26,-1.0,60,-1.0,60,-1.0,14,-1.0,60,0.0,1,15.457,18,0.342,15,0.0,1,2.802e-06,0,PZ31,63,LCBio,61.84299789721124
Chen,4,13.181,40,15.893,36,0.829,13,0.957,3,-1.0,14,0.775,16,0.0,1,14.195,7,0.337,17,0.0,1,5.138e-06,0,PZ31,63,Chen,61.82912655713686
Dfold,2,14.069,41,18.691,42,0.753,37,0.783,47,0.0,1,0.762,22,81.01,53,13.048,1,0.342,15,0.0,1,4.468e-05,0,PZ31,63,Kollmann,62.246764616981956
Bujnicki,3,10.601,27,12.827,24,0.826,14,0.955,9,-1.0,14,0.775,16,5.36,35,15.429,17,0.326,25,0.0,1,2.542e-09,0,PZ31,63,Bujnicki,63.21737211189086
Dfold,7,23.998,60,61.368,61,0.391,59,0.0,55,0.0,1,0.575,58,159.05,60,19.642,58,0.217,60,0.0,1,0.945,0,PZ31,63,Kollmann,62.09821854030759
Perez,8,9.246,25,12.773,28,0.724,77,0.87,70,-1.0,1,0.664,81,0.35,23,23.139,87,0.344,45,0.0,1,0.0,0,PZ39,90,Perez,88.9088558899677
Chen,1,3.959,2,4.351,2,0.91,8,0.973,21,-1.0,1,0.878,9,0.35,23,17.342,12,0.553,2,0.0,1,0.0,0,PZ39,90,Chen,90.61134202996148
DasEMinfo,4,20.38,66,24.336,64,0.837,50,0.973,21,-1.0,1,0.766,59,8.78,60,20.798,50,0.334,47,0.0,1,2.94e-05,0,PZ39,90,Das,90.51915530617578
GeneSilico1,3,20.348,65,23.251,55,0.875,32,0.973,21,-1.0,1,0.832,33,0.0,1,22.858,84,0.284,72,0.0,1,2.73e-05,0,PZ39,90,Bujnicki,89.5654518235394
SoutheRNA,8,20.316,64,24.831,68,0.818,62,0.93,52,-1.0,1,0.765,61,90.14,76,20.218,38,0.309,57,0.0,1,2.53e-05,0,PZ39,90,SoutheRNA,89.44678461101846
DasEMinfo,2,20.131,63,24.334,63,0.827,54,0.973,21,-1.0,1,0.759,65,7.38,51,19.705,28,0.302,63,0.0,1,1.62e-05,0,PZ39,90,Das,90.5294431983291
Xiong,3,20.06,62,21.975,51,0.913,6,0.987,1,-1.0,1,0.882,8,8.45,59,14.503,6,0.305,60,0.0,1,1.36e-05,0,PZ39,90,Xiong,88.80907929591163
Dokholyan,1,19.975,61,23.703,58,0.843,41,0.901,65,-1.0,1,0.816,41,101.09,83,21.152,62,0.296,66,0.0,1,1.11e-05,0,PZ39,90,Dokholyan,89.35722415980764
DasEMinfo,3,19.91,60,22.348,52,0.891,24,0.987,1,-1.0,1,0.841,29,2.46,42,16.297,7,0.33,48,0.0,1,9.39e-06,0,PZ39,90,Das,89.32379639256479
Chen,7,19.798,59,22.523,53,0.879,31,0.93,52,-1.0,1,0.856,16,0.0,1,21.176,63,0.276,77,0.0,1,7.09e-06,0,PZ39,90,Chen,90.51537126075193
Dokholyan,3,19.623,58,25.535,70,0.768,74,0.886,68,-1.0,1,0.713,74,86.5,75,22.378,81,0.258,84,0.0,1,4.54e-06,0,PZ39,90,Dokholyan,91.34750426472792
GeneSilico1,1,20.433,67,22.981,54,0.889,26,0.959,35,-1.0,1,0.856,16,0.0,1,21.268,65,0.393,29,0.0,1,3.33e-05,0,PZ39,90,Bujnicki,89.51104442878078
SoutheRNA,3,19.36,57,23.807,59,0.813,64,0.916,60,-1.0,1,0.761,64,92.38,78,19.713,29,0.305,60,0.0,1,2.28e-06,0,PZ39,90,SoutheRNA,90.94036208221407
SoutheRNA,4,19.247,55,23.352,56,0.824,57,0.93,52,-1.0,1,0.772,58,74.76,73,20.41,40,0.379,36,0.0,1,1.68e-06,0,PZ39,90,SoutheRNA,89.38307181323145
Dfold,2,19.217,54,37.382,82,0.514,85,0.316,83,-1.0,1,0.609,85,100.46,82,23.129,86,0.263,82,0.0,1,1.55e-06,0,PZ39,90,Kollmann,90.7999910547872
Dfold,3,19.034,53,31.898,80,0.597,80,0.45,80,-1.0,1,0.673,80,74.41,72,20.104,35,0.252,86,0.0,1,9.44e-07,0,PZ39,90,Kollmann,91.37235514217404
Dfold,4,18.239,52,33.08,81,0.551,82,0.336,81,-1.0,1,0.65,84,118.72,84,21.9,74,0.25,87,0.0,1,9.6e-08,0,PZ39,90,Kollmann,91.10515649178532
Dfold,1,18.073,51,27.863,77,0.649,79,0.458,79,-1.0,1,0.738,71,126.89,86,21.643,69,0.284,72,0.0,1,5.81e-08,0,PZ39,90,Kollmann,90.43694111306866
DasEMinfo,1,19.329,56,23.471,57,0.824,57,0.96,34,-1.0,1,0.753,67,8.08,57,21.327,66,0.293,67,0.0,1,2.1e-06,0,PZ39,90,Das,89.79874275639393
GeneSilico1,5,17.181,50,19.484,46,0.882,29,0.987,1,-1.0,1,0.828,35,0.0,1,20.407,39,0.31,55,0.0,1,3.42e-09,0,PZ39,90,Bujnicki,89.3403119453848
SoutheRNA,9,20.451,68,24.187,61,0.846,39,0.901,65,-1.0,1,0.82,38,126.1,85,20.713,47,0.291,68,0.0,1,3.47e-05,0,PZ39,90,SoutheRNA,89.66890458489007
Chen,5,20.57,69,24.415,65,0.843,41,0.973,21,-1.0,1,0.782,54,0.0,1,19.544,25,0.297,65,0.0,1,4.58e-05,0,PZ39,90,Chen,89.02204999130758
Dokholyan,4,23.211,88,42.65,84,0.544,83,0.257,84,-1.0,1,0.674,79,132.02,87,21.917,76,0.234,89,0.0,1,0.007244,0,PZ39,90,Dokholyan,91.25004807505903
DasEMinfo,5,23.038,87,27.373,74,0.842,44,0.959,35,-1.0,1,0.784,52,7.73,55,18.321,16,0.31,55,0.0,1,0.005533,0,PZ39,90,Das,90.74919040892627
Dfold,5,23.037,86,40.27,83,0.572,81,0.336,81,-1.0,1,0.688,78,141.21,88,20.648,43,0.211,90,0.0,1,0.005524,0,PZ39,90,Kollmann,89.15331831070183
Zhou,3,22.847,84,149.432,90,0.153,89,-1.0,87,-1.0,1,0.191,89,9.83,66,37.729,104,0.376,39,0.0,1,0.004062,0,PZ39,90,Anonymous,89.68985304749391
Dokholyan,5,22.847,84,42.981,85,0.532,84,0.245,85,-1.0,1,0.664,81,142.81,90,19.606,26,0.258,84,0.0,1,0.004059,0,PZ39,90,Dokholyan,90.95537337396702
Chen,6,22.787,83,26.029,72,0.875,32,0.987,1,-1.0,1,0.822,37,0.0,1,20.682,45,0.264,81,0.0,1,0.003678,0,PZ39,90,Chen,90.94658740841557
Zhou,4,22.277,82,109.298,86,0.204,86,-1.0,87,-1.0,1,0.264,86,16.51,70,24.954,96,0.391,30,0.0,1,0.00152,0,PZ39,90,Anonymous,91.16761382292896
Perez,2,22.1,81,27.748,76,0.796,68,0.901,65,-1.0,1,0.759,65,0.7,31,22.778,83,0.317,53,0.0,1,0.001099,0,PZ39,90,Perez,90.04607376918742
Zhou,1,21.994,80,143.765,89,0.153,89,0.0,86,-1.0,1,0.19,90,0.7,31,41.367,105,0.366,42,0.0,1,0.0009013,0,PZ39,90,Anonymous,90.98332158289774
Perez,7,21.888,78,26.012,71,0.841,46,0.945,40,-1.0,1,0.795,47,0.7,31,20.193,37,0.244,88,0.0,1,0.0007373,0,PZ39,90,Perez,88.82333400423249
Perez,6,21.806,77,27.637,75,0.789,70,0.959,35,-1.0,1,0.708,75,1.05,34,24.208,95,0.349,43,0.0,1,0.0006292,0,PZ39,90,Perez,89.4501878235867
Zhou,5,21.756,76,118.544,87,0.184,87,-1.0,87,-1.0,1,0.236,87,5.62,47,28.921,98,0.43,20,0.0,1,0.0005711,0,PZ39,90,Anonymous,88.77316200596402
Chen,9,21.596,75,24.712,67,0.874,34,0.93,52,-1.0,1,0.848,20,0.0,1,21.183,64,0.327,49,0.0,1,0.0004161,0,PZ39,90,Chen,91.30753492047262
SoutheRNA,2,21.446,74,26.987,73,0.795,69,0.916,60,-1.0,1,0.741,69,72.71,71,20.872,52,0.321,51,0.0,1,0.0003073,0,PZ39,90,SoutheRNA,90.38948084595195
Szachniuk,5,21.417,73,24.228,62,0.884,27,0.973,21,-1.0,1,0.844,28,5.97,48,21.704,70,0.32,52,0.0,1,0.0002891,0,PZ39,90,Szachniuk,89.64850802114589
SoutheRNA,6,21.219,72,25.416,69,0.835,52,0.916,60,-1.0,1,0.797,44,93.33,79,21.039,56,0.39,31,0.0,1,0.0001917,0,PZ39,90,SoutheRNA,91.34642450140622
Ding,3,20.745,71,24.117,60,0.86,36,0.945,40,-1.0,1,0.817,40,9.48,64,19.963,32,0.378,38,0.0,1,6.81e-05,0,PZ39,90,Ding,91.42977582215342
SoutheRNA,1,20.575,70,24.608,66,0.836,51,0.916,60,-1.0,1,0.797,44,141.65,89,22.014,77,0.382,35,0.0,1,4.63e-05,0,PZ39,90,SoutheRNA,91.43012345901307
Zhou,2,21.916,79,121.899,88,0.18,88,-1.0,87,-1.0,1,0.229,88,9.13,63,29.481,99,0.379,36,0.0,1,0.0007772,0,PZ39,90,Anonymous,90.85250262301041
GeneSilico4,1,3.383,1,3.678,1,0.92,2,0.973,21,-1.0,1,0.894,2,0.35,23,26.708,97,0.636,1,0.0,1,0.0,0,PZ39,90,Bujnicki,89.7153596509249
Perez,1,17.12,49,21.159,50,0.809,65,0.959,35,-1.0,1,0.735,72,0.35,23,22.204,79,0.266,80,0.0,1,2.79e-09,0,PZ39,90,Perez,90.07518461095898
Ding,6,17.065,47,20.44,48,0.835,52,0.945,40,-1.0,1,0.778,55,7.38,51,18.461,17,0.28,76,0.0,1,2.33e-09,0,PZ39,90,Ding,91.28641236884205
DasSWM,1,8.023,21,8.834,18,0.908,9,0.987,1,-1.0,1,0.874,11,1.76,40,17.071,11,0.404,25,0.0,1,0.0,0,PZ39,90,Das,89.63994654595096
Perez,3,7.959,20,9.444,22,0.843,41,0.945,40,-1.0,1,0.792,50,1.05,34,20.916,53,0.433,19,0.0,1,0.0,0,PZ39,90,Perez,88.86071286927913
GeneSilico2,5,7.898,19,8.844,19,0.893,20,0.987,1,-1.0,1,0.846,23,0.0,1,22.273,80,0.42,22,0.0,1,0.0,0,PZ39,90,Bujnicki,90.98173711369262
DasSWM,4,7.893,18,8.828,17,0.894,18,0.987,1,-1.0,1,0.845,26,3.16,44,18.188,15,0.388,32,0.0,1,0.0,0,PZ39,90,Das,89.22960676854275
Chen,3,7.649,17,8.497,15,0.9,14,0.987,1,-1.0,1,0.858,14,0.0,1,19.313,22,0.466,8,0.0,1,0.0,0,PZ39,90,Chen,90.50784906336305
DasSWM,3,7.464,16,8.256,14,0.904,10,0.973,21,-1.0,1,0.875,10,4.21,45,16.92,10,0.443,15,0.0,1,0.0,0,PZ39,90,Das,90.38516255165437
Ding,1,7.452,15,8.856,20,0.841,46,0.945,40,-1.0,1,0.795,47,8.78,60,19.355,23,0.443,15,0.0,1,0.0,0,PZ39,90,Ding,90.29484822252647
SoutheRNA,10,7.245,14,8.623,16,0.84,48,0.93,52,-1.0,1,0.795,47,95.27,80,21.151,61,0.454,12,0.0,1,0.0,0,PZ39,90,SoutheRNA,89.00222292901262
DasSWM,2,7.191,13,7.875,12,0.913,6,0.973,21,-1.0,1,0.883,7,2.46,42,16.392,8,0.45,13,0.0,1,0.0,0,PZ39,90,Das,90.05223307475755
GeneSilico2,3,8.162,22,9.06,21,0.901,12,0.987,1,-1.0,1,0.857,15,0.0,1,21.784,71,0.429,21,0.0,1,0.0,0,PZ39,90,Bujnicki,88.72307047444326
GeneSilico2,2,6.618,11,7.411,10,0.893,20,0.987,1,-1.0,1,0.846,23,0.0,1,20.578,41,0.45,13,0.0,1,0.0,0,PZ39,90,Bujnicki,90.76896855759287
Ding,4,6.446,10,7.812,11,0.825,56,0.945,40,-1.0,1,0.766,59,7.73,55,21.338,67,0.502,3,0.0,1,0.0,0,PZ39,90,Ding,89.9778669292031
GeneSilico2,4,5.959,9,6.689,8,0.891,24,0.987,1,-1.0,1,0.841,29,0.0,1,20.793,49,0.456,11,0.0,1,0.0,0,PZ39,90,Bujnicki,89.4265978886054
GeneSilico1,2,5.919,8,6.62,7,0.894,18,0.987,1,-1.0,1,0.845,26,0.0,1,20.192,36,0.443,15,0.0,1,0.0,0,PZ39,90,Bujnicki,90.96764940823638
SoutheRNA,5,5.61,7,6.818,9,0.823,59,0.915,64,-1.0,1,0.778,55,81.96,74,19.099,20,0.473,6,0.0,1,0.0,0,PZ39,90,SoutheRNA,91.40940651126462
Szachniuk,1,5.605,6,6.118,6,0.916,4,0.973,21,-1.0,1,0.887,3,7.38,51,20.031,33,0.462,9,0.0,1,0.0,0,PZ39,90,Szachniuk,89.48570125546362
DasSWM,5,5.594,5,6.087,4,0.919,3,0.987,1,-1.0,1,0.884,4,2.11,41,13.69,1,0.499,4,0.0,1,0.0,0,PZ39,90,Das,90.77907785525977
GeneSilico3,1,5.447,4,6.106,5,0.892,23,0.973,21,-1.0,1,0.851,18,0.35,23,20.688,46,0.434,18,0.0,1,0.0,0,PZ39,90,Bujnicki,91.43476438856763
Chen,2,5.267,3,5.762,3,0.914,5,0.973,21,-1.0,1,0.884,4,0.35,23,16.604,9,0.483,5,0.0,1,0.0,0,PZ39,90,Chen,90.00871714815723
Dokholyan,2,6.779,12,8.206,13,0.826,55,0.855,74,-1.0,1,0.819,39,98.53,81,20.658,44,0.47,7,0.0,1,0.0,0,PZ39,90,Dokholyan,89.4658869818131
Xiong,2,17.096,48,18.933,42,0.903,11,0.987,1,-1.0,1,0.867,12,6.34,50,14.02,5,0.299,64,0.0,1,2.58e-09,0,PZ39,90,Xiong,90.3675309125965
GeneSilico2,1,8.768,23,9.797,23,0.895,17,0.987,1,-1.0,1,0.847,22,0.35,23,20.085,34,0.403,26,0.0,1,0.0,0,PZ39,90,Bujnicki,88.67705816420333
Perez,5,9.757,26,13.028,31,0.749,76,0.886,68,-1.0,1,0.703,76,1.05,34,23.888,92,0.343,46,0.0,1,0.0,0,PZ39,90,Perez,90.55611683580916
Xiao,3,16.463,46,20.574,49,0.8,67,0.87,70,-1.0,1,0.776,57,0.0,1,23.929,93,0.314,54,0.0,1,2.94e-10,0,PZ39,90,Xiao,90.52828082043122
Chen,10,16.38,45,19.052,43,0.86,36,0.93,52,-1.0,1,0.827,36,0.0,1,22.147,78,0.263,82,0.0,1,2.19e-10,0,PZ39,90,Chen,89.69005284364599
Perez,4,16.267,44,20.241,47,0.804,66,0.945,40,-1.0,1,0.74,70,0.35,23,21.08,59,0.306,58,0.0,1,1.47e-10,0,PZ39,90,Perez,90.38845269650308
SoutheRNA,7,15.968,43,18.885,40,0.846,39,0.944,51,-1.0,1,0.797,44,91.68,77,21.031,55,0.413,23,0.0,1,4.94e-11,0,PZ39,90,SoutheRNA,89.15710200893434
Xiao,2,15.833,42,19.405,45,0.816,63,0.789,78,-1.0,1,0.838,31,0.0,1,17.921,14,0.282,75,0.0,1,3e-11,0,PZ39,90,Xiao,89.00187840775591
Xiong,1,15.634,41,17.762,39,0.88,30,0.987,1,-1.0,1,0.832,33,8.8,62,13.756,2,0.284,72,0.0,1,1.43e-11,0,PZ39,90,Xiong,91.16423770247246
Xiao,4,15.47,40,18.897,41,0.819,61,0.839,77,-1.0,1,0.811,42,0.0,1,18.616,18,0.306,58,0.0,1,7.64e-12,0,PZ39,90,Xiao,88.81253723064108
Xiao,5,15.246,39,19.368,44,0.787,71,0.855,74,-1.0,1,0.765,61,1.05,34,21.05,57,0.288,70,0.0,1,3.22e-12,0,PZ39,90,Xiao,89.28027191740074
Perez,10,8.947,24,11.7,25,0.765,75,0.87,70,-1.0,1,0.717,73,1.4,39,23.524,90,0.345,44,0.0,1,0.0,0,PZ39,90,Perez,90.76525898164022
Chen,8,14.426,38,16.507,37,0.874,34,0.93,52,-1.0,1,0.848,20,0.0,1,21.063,58,0.27,79,0.0,1,1.19e-13,0,PZ39,90,Chen,89.0689794195939
Szachniuk,4,13.002,36,14.723,34,0.883,28,0.973,21,-1.0,1,0.836,32,7.38,51,21.795,72,0.29,69,0.0,1,2.22e-16,0,PZ39,90,Szachniuk,89.01805102765267
Ding,2,12.537,35,14.885,35,0.842,44,0.945,40,-1.0,1,0.788,51,11.59,68,19.686,27,0.304,62,0.0,1,0.0,0,PZ39,90,Ding,90.15285616008259
Ding,8,12.102,34,14.423,33,0.839,49,0.945,40,-1.0,1,0.784,52,8.08,57,19.894,31,0.37,40,0.0,1,0.0,0,PZ39,90,Ding,88.77512736453696
Perez,9,11.846,33,16.413,36,0.722,78,0.87,70,-1.0,1,0.664,81,1.05,34,24.164,94,0.4,28,0.0,1,0.0,0,PZ39,90,Perez,89.51639971853936
GeneSilico1,4,11.73,32,13.092,32,0.896,16,0.987,1,-1.0,1,0.849,19,0.0,1,20.917,54,0.322,50,0.0,1,0.0,0,PZ39,90,Bujnicki,91.44108969348537
Xiong,5,11.667,31,12.95,30,0.901,12,0.987,1,-1.0,1,0.863,13,9.86,67,13.999,4,0.369,41,0.0,1,0.0,0,PZ39,90,Xiong,91.18903525622001
Szachniuk,3,11.047,30,12.907,29,0.856,38,0.959,35,-1.0,1,0.811,42,0.0,1,19.43,24,0.383,34,0.0,1,0.0,0,PZ39,90,Szachniuk,90.96202721104564
Szachniuk,2,10.922,29,12.23,27,0.893,20,0.987,1,-1.0,1,0.846,23,0.0,1,18.761,19,0.458,10,0.0,1,0.0,0,PZ39,90,Szachniuk,89.89279454644189
Chen,4,10.562,28,11.747,26,0.899,15,0.945,40,-1.0,1,0.884,4,0.0,1,21.832,73,0.409,24,0.0,1,0.0,0,PZ39,90,Chen,91.21264597363967
Xiong,4,10.376,27,11.182,24,0.928,1,0.987,1,-1.0,1,0.904,1,11.97,69,13.824,3,0.387,33,0.0,1,0.0,0,PZ39,90,Xiong,90.20440903308551
Ding,7,13.614,37,17.488,38,0.778,73,0.945,40,-1.0,1,0.695,77,9.48,64,19.763,30,0.403,26,0.0,1,3.72e-15,0,PZ39,90,Ding,91.15224889838876
Ding,5,23.301,89,28.395,78,0.821,60,0.93,52,-1.0,1,0.762,63,6.32,49,20.733,48,0.286,71,0.0,1,0.008317,0,PZ39,90,Ding,90.25857236366744
Xiao,1,23.926,90,30.468,79,0.785,72,0.855,74,-1.0,1,0.752,68,4.22,46,23.823,91,0.275,78,0.0,1,0.02031,0,PZ39,90,Xiao,90.8808715673652
Das,4,25.395,26,37.511,26,0.677,17,0.907,9,0.0,10,0.632,32,3.46,17,17.949,11,0.242,17,0.0,1,0.3508,0,PZ22,81,Das,80.69311453752542
Xiao,3,24.468,21,41.602,28,0.588,35,0.707,29,-1.0,24,0.581,35,3.08,15,27.644,41,0.263,11,0.0,1,0.1846,0,PZ22,81,Xiao,81.56947578109241
Dokholyan,4,24.487,23,36.562,24,0.67,20,0.702,30,-1.0,24,0.697,8,1.93,8,24.176,28,0.196,34,0.0,1,0.1874,1,PZ22,81,Dokholyan,80.94160968248359
Bujnicki,5,24.87,24,38.274,27,0.65,27,0.613,34,0.0,10,0.706,6,69.42,35,23.899,25,0.257,12,0.0,1,0.25,1,PZ22,81,Bujnicki,80.59735120265493
Chen,4,25.355,25,33.035,20,0.768,2,0.962,1,0.354,1,0.725,4,2.31,10,26.922,40,0.204,32,0.0,1,0.3427,1,PZ22,81,Chen,81.60278087978419
Chen,2,26.154,27,34.095,22,0.767,3,0.941,5,0.354,1,0.737,3,1.92,7,26.857,39,0.224,24,0.0,1,0.5155,0,PZ22,81,Chen,79.89106432672185
Chen,1,26.82,28,34.464,23,0.778,1,0.961,4,0.354,1,0.744,2,2.31,10,23.017,21,0.221,26,0.0,1,0.6585,1,PZ22,81,Chen,79.92272305781034
Bujnicki,4,26.946,29,41.913,29,0.643,30,0.63,32,-1.0,24,0.687,10,56.52,33,23.285,22,0.275,8,0.0,1,0.6839,1,PZ22,81,Bujnicki,81.56080180493285
Bujnicki,3,27.393,30,44.965,32,0.609,34,0.615,33,-1.0,24,0.643,28,63.71,34,22.49,20,0.286,6,0.0,1,0.7664,1,PZ22,81,Bujnicki,81.80144375292994
Adamiak,3,27.938,31,45.765,34,0.61,33,0.549,35,0.204,9,0.674,16,6.54,25,22.248,18,0.22,28,0.0,1,0.8484,0,PZ22,81,Szachniuk,80.85661915269273
Adamiak,1,28.834,32,43.906,31,0.657,25,0.731,25,-1.0,24,0.666,20,8.08,26,24.208,29,0.198,33,0.0,1,0.9367,1,PZ22,81,Szachniuk,80.8166730843592
Dokholyan,1,28.986,33,45.286,33,0.64,31,0.72,28,-1.0,24,0.646,27,5.77,24,24.296,31,0.243,16,0.0,1,0.9465,1,PZ22,81,Dokholyan,80.83568351978589
Dokholyan,2,29.496,34,47.562,35,0.62,32,0.77,22,-1.0,24,0.594,34,3.85,20,25.172,35,0.213,31,0.0,1,0.971,1,PZ22,81,Dokholyan,80.5948680625513
Chen,3,31.762,35,43.209,30,0.735,5,0.898,11,0.354,1,0.708,5,1.54,4,25.843,38,0.255,13,0.0,1,0.9992,0,PZ22,81,Chen,80.5557289234083
Das,3,23.908,20,33.772,21,0.708,9,0.906,10,0.0,10,0.682,13,3.08,15,17.008,6,0.232,22,0.0,1,0.1133,1,PZ22,81,Das,82.08415304988246
Dokholyan,3,24.478,22,37.05,25,0.661,23,0.728,26,0.0,10,0.683,11,1.54,4,25.016,34,0.265,10,0.0,1,0.1861,0,PZ22,81,Dokholyan,81.3190550516396
Chen,5,21.39,18,29.193,14,0.733,6,0.941,5,0.354,1,0.683,11,1.15,2,23.862,24,0.228,23,0.0,1,0.004553,0,PZ22,81,Chen,80.84864014343133
Das,5,10.663,1,15.041,1,0.709,8,0.962,1,0.0,10,0.657,22,1.15,2,16.651,4,0.285,7,0.0,1,0.0,1,PZ22,81,Das,82.39975078727471
Das,1,11.48,2,17.038,3,0.674,18,0.863,14,0.0,10,0.652,25,3.46,17,17.322,8,0.217,29,0.0,1,2.22e-16,0,PZ22,81,Das,81.85412783652505
